CRIM,ZN,INDUS,CHAS,RM,AGE,TAX,B,LSTAT,MEDV
0.08829,12.5,7.87,0,6.012,66.6,311,12.43,22.9,395.6
0.03237,0,2.18,0,6.998,45.8,222,2.94,33.4,394.63
0.06905,0,2.18,0,7.147,54.2,222,5.33,36.2,396.9
0.02985,0,2.18,0,6.43,58.7,222,5.21,28.7,394.12
0.08829,12.5,7.87,0,6.012,66.6,311,12.43,22.9,395.6
0.14455,12.5,7.87,0,6.172,96.1,311,19.15,27.1,396.9
0.21124,12.5,7.87,0,5.631,100,311,29.93,16.5,386.63
0.17004,12.5,7.87,0,6.004,85.9,311,17.1,18.9,386.71
0.22489,12.5,7.87,0,6.377,94.3,311,20.45,15,392.52
0.11747,12.5,7.87,0,6.009,82.9,311,13.27,18.9,396.9
0.09378,12.5,7.87,0,5.889,39,311,15.71,21.7,390.5
0.62976,0,8.14,0,5.949,61.8,307,8.26,20.4,396.9
0.63796,0,8.14,0,6.096,84.5,307,10.26,18.2,380.02
0.62739,0,8.14,0,5.834,56.5,307,8.47,19.9,395.62
1.05393,0,8.14,0,5.935,29.3,307,6.58,23.1,386.85
0.7842,0,8.14,0,5.99,81.7,307,14.67,17.5,386.75
0.80271,0,8.14,0,5.456,36.6,307,11.69,20.2,288.99
0.7258,0,8.14,0,5.727,69.5,307,11.28,18.2,390.95
1.25179,0,8.14,0,5.57,98.1,307,21.02,13.6,376.57
0.85204,0,8.14,0,5.965,89.2,307,13.83,19.6,392.53
